RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
Panola,TX,,48,365,1585,169000,181950,155000,151500,158750,169500,157250,155000,149000,139900,129000,126950,136200,134900,137500,134900,135200,147900,147900,149000,149900,149900,149900,149450,148000,149900,148700,129900,136950,149800,149400,150000,158950,150000,150000,150000,150500,154450,150000,159000,152500,150000,150000,149000,149000,149000,135000,146500,144000,144450,141500,139450,149900,148900,148900,149900,157500,168950,169000,177500,175450,179000,177450,174950,175000,179000,183450,180000,194000,180000,180000,179900,169900,169000,166750,169000,174450,177250,184500,180000,171000,184450,179000,179000,179000,174750,179000,169900,169900,169000
Wyoming,WV,,54,109,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000,75000,72450,72450,79900,77000,72250,75000,83500,85000,76250,75000,75000,69900,68000,65000,64250,59950,63500,59900,60000,62500,72900,75000,74450,72500,72700,71200,64500,65000,67500,59450,56900,57900,55000,54900
West Baton Rouge,LA,Baton Rouge,22,121,1587,204900,199900,202400,202400,199900,194999,199900,191000,197900,192450,197900,189900,189900,189900,195000,194700,196900,188900,192200,2.00E+05,206000,206000,191900,191900,192500,189900,187500,185900,179450,183950,177750,176100,175450,175100,175450,177050,184900,170100,171450,175850,179900,187650,188250,175850,179000,185550,187650,189000,184200,201900,196600,195900,189000,192900,190000,199250,195700,201000,207900,207900,207900,209450,202850,202850,198250,201000,189200,192900,202200,202700,199900,196900,196450,205000,227500,229700,222250,210000,208900,209950,214450,215000,228000,225000,233750,234250,232500,244950,230000,219950
Meigs,OH,,39,105,1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,124700,139900,124900,124900,134900,134900,112500,115000,120500,134000,135750
Staunton City,VA,Staunton,51,790,1589,169700,159900,159900,167500,168700,166950,159900,159900,159900,159900,152450,150000,149900,149900,154900,149900,159900,159900,155000,156400,159900,159900,154900,154900,154450,149900,154900,149900,149900,155000,154995,149900,145790,142400,149500,145340,155000,157475,159900,159900,159900,154000,159900,151400,157450,154900,159900,157900,159900,156450,157950,159900,155400,150000,150000,149900,149900,149900,149500,149500,149900,159900,159900,159000,159450,157000,157250,157950,155000,149900,155000,149900,149450,149900,149900,146500,150000,149900,148000,149450,155000,156000,155000,159900,159950,162450,171200,174750,179900,185900
Houston,TX,,48,225,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179058,159850,159950,159950,167000,159950,178808,179000,187500,198000,188250,186575,198500,187500,174500,169000,174618.5,176950
Caswell,NC,,37,33,1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,2.00E+05,199500,2.00E+05,199500,197500,197500,199900,188900,194900,220000,225000,229200,228900,207450,215000,229500,224450,241450,229000,228000,199500,189900,189900,179441.5,164160.5,168000,168000,168000,168000,168000,168000
Iowa,WI,Madison,55,49,1592,174900,175000,175000,175000,167000,169000,165000,164950,164900,155400,153000,150000,149900,138950,134500,134900,134900,135000,147400,135000,140000,149900,149900,134000,139900,132700,137400,140000,140000,139900,139000,149900,149900,149900,149900,149900,146950,148500,139900,139900,148400,149900,139900,145000,149900,144900,144950,148450,152000,155000,145200,149900,149900,150000,154900,149900,145000,144900,139900,138700,132000,138900,145000,149950,154000,157000,164950,165900,169500,159900,159000,154750,149900,159000,159450,159450,164400,165000,169900,169900,166250,166250,164500,159900,151250,139900,147000,164900,169900,170950
Fannin,GA,,13,111,1593,267000,265700,259000,249900,249900,239600,236250,239900,235900,226600,225000,229000,219000,199900,210000,219000,229000,229900,211800,201677,215000,219000,215000,219950,219950,215000,215000,224900,229000,219500,209900,208250,215000,209000,226900,225000,247000,244500,239900,239900,249000,249500,249000,242900,239900,240000,240000,239000,239900,238150,239000,239990,244900,249000,249000,249750,249825,249900,249875,249900,249900,259000,249900,249900,249950,259900,249950,269900,269900,274900,279900,285000,289900,294450,299000,299000,299000,299000,299900,299947.5,299900,299900,298000,299000,299000,299000,304900,318000,319900,323500
Butts,GA,Atlanta,13,35,1594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,130000,115000,124900,145000,137450,142400,125000,125000,124950,129000,134900,129000,132900,132450,124950,129500,134900,135000,134900,127900,133200,129900,124900,123550,119950,129900,135393.5,136900,139287,137400,129900,127800,127850,124950,125000,124975,124950,127921.5,127900,129500,134900,134900,139900
